,Waste,Industry,Forestry,Agriculture,Transport,Energy,Buildings
gbar,242.14774303560665,5.032393369876114,2.5418859352682093,25.424842543957453,4.826200036504923,1.03797,19.4
abar,0.82,5.47,8.25,4.07,3.74,11.99,3.2
delta,0.033,0.04,0.008,0.05,0.067,0.025,0.017
a_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power,2.0,2.0,2.0,1.0,2.0,2.0,2.0
cbar,1282031.5737985321,26643.598288698,13457.808795389303,134609.7654745295,25551.9244189574,5495.447927672768,102711.72557670422
